<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
20211101;16:25:00;364.2900000;364.5900000;364.2000000;364.5800000;182400
20211101;16:30:00;364.5700000;364.9800000;364.5700000;364.9400000;290440
20211101;16:35:00;364.9400000;365.6400000;364.7500000;365.3800000;774870
20211101;16:40:00;365.4700000;365.6300000;364.8300000;364.9300000;414860
20211101;16:45:00;364.9300000;365.2100000;364.7600000;365.1500000;248590
20211101;16:50:00;365.2100000;366.4100000;365.0700000;366.0000000;915640
20211101;16:55:00;366.0800000;366.4300000;365.8100000;365.9900000;270010
20211101;17:00:00;366.0000000;366.2000000;365.8000000;365.8000000;184550
20211101;17:05:00;365.8000000;366.0100000;365.5200000;365.9000000;368150
20211101;17:10:00;365.8600000;366.3000000;365.7000000;366.1200000;245800
20211101;17:15:00;366.1200000;366.7400000;365.6500000;365.8200000;281650
20211101;17:20:00;365.7500000;365.9400000;365.2600000;365.7500000;230560
20211101;17:25:00;365.7500000;365.8400000;365.2300000;365.2500000;208130
20211101;17:30:00;365.2500000;365.3100000;364.8700000;364.9800000;484990
20211101;17:35:00;364.9900000;365.5100000;364.9900000;365.2200000;312120
20211101;17:40:00;365.2200000;365.7900000;365.1300000;365.7000000;547630
20211101;17:45:00;365.7000000;366.4000000;365.6100000;366.2900000;479700
20211101;17:50:00;366.2700000;367.8700000;366.1100000;367.7700000;1577490
20211101;17:55:00;367.8000000;368.5700000;367.7100000;368.2900000;1254400
20211101;18:00:00;368.3400000;369.7900000;368.2900000;369.4900000;1735260
20211101;18:05:00;369.6100000;370.2400000;369.3500000;370.1900000;1667670
20211101;18:10:00;370.1900000;370.3200000;369.6000000;369.7800000;1545040
20211101;18:15:00;369.7700000;370.1000000;369.2000000;369.2300000;1256620
20211101;18:20:00;369.2200000;369.7900000;368.8300000;369.6700000;605620
20211101;18:25:00;369.6700000;370.8200000;369.6700000;370.0300000;1723020
20211101;18:30:00;370.0600000;370.2900000;369.6700000;370.2900000;573870
20211101;18:35:00;370.2900000;371.2400000;370.1500000;371.0200000;1248930
20211101;18:40:00;371.0200000;371.4700000;370.4200000;370.5100000;1008510
20211101;18:50:00;370.5800000;370.5800000;370.5800000;370.5800000;1141950
20211101;19:05:00;371.3900000;371.3900000;371.3900000;371.3900000;10080
20211101;19:10:00;371.0000000;371.0000000;370.0900000;370.3900000;272990
20211101;19:15:00;370.3300000;370.6700000;370.2100000;370.3200000;123750
20211101;19:20:00;370.3000000;370.8500000;370.1000000;370.4600000;177960
20211101;19:25:00;370.5600000;370.7400000;370.4600000;370.6000000;39420
20211101;19:30:00;370.6000000;370.6700000;370.3000000;370.3000000;39150
20211101;19:35:00;370.2700000;370.5200000;370.0000000;370.1900000;225610
20211101;19:40:00;370.0200000;370.2300000;369.8900000;369.9300000;182800
20211101;19:45:00;369.9300000;370.4200000;369.9200000;370.4200000;87220
20211101;19:50:00;370.3100000;370.5000000;370.2000000;370.3100000;31600
20211101;19:55:00;370.3100000;370.8800000;370.3100000;370.5200000;170580
20211101;20:00:00;370.4700000;370.8000000;370.3200000;370.7100000;46070
20211101;20:05:00;370.7100000;370.8000000;370.4800000;370.5200000;39870
20211101;20:10:00;370.5000000;370.6000000;370.2800000;370.2800000;103880
20211101;20:15:00;370.3900000;370.4000000;370.1600000;370.1700000;74200
20211101;20:20:00;370.1700000;370.4500000;370.1700000;370.3700000;50080
20211101;20:25:00;370.3700000;370.4700000;370.1500000;370.1900000;29860
20211101;20:30:00;370.3000000;370.4700000;370.1900000;370.4700000;30270
20211101;20:35:00;370.3600000;370.4700000;370.2700000;370.3000000;30150
20211101;20:40:00;370.3000000;370.4700000;370.1700000;370.3000000;48740
20211101;20:45:00;370.2000000;370.4000000;370.1200000;370.2300000;56920
20211101;20:50:00;370.3700000;370.5400000;370.2000000;370.5000000;117470
20211101;20:55:00;370.4400000;370.6500000;370.4300000;370.4400000;93230
20211101;21:00:00;370.4600000;370.5900000;370.3600000;370.5100000;138600
20211101;21:05:00;370.4800000;370.5600000;370.2500000;370.3200000;58820
20211101;21:10:00;370.3200000;370.3700000;370.1400000;370.1500000;30930
20211101;21:15:00;370.1500000;370.6500000;370.1400000;370.5300000;86980
20211101;21:20:00;370.6000000;370.6000000;370.1400000;370.2000000;32310
20211101;21:25:00;370.2800000;370.4200000;370.1500000;370.4000000;63850
20211101;21:30:00;370.3800000;370.4300000;370.1800000;370.4000000;56380
20211101;21:35:00;370.4000000;370.4500000;370.1100000;370.2200000;68560
20211101;21:40:00;370.2200000;370.5300000;370.2000000;370.5200000;32200
20211101;21:45:00;370.5300000;370.6200000;370.4900000;370.6100000;43660
20211101;21:50:00;370.6000000;370.6100000;370.4900000;370.4900000;15950
20211101;21:55:00;370.5000000;370.6500000;370.4300000;370.4300000;56960
20211101;22:00:00;370.5000000;370.6300000;370.4000000;370.5900000;27450
20211101;22:05:00;370.5900000;370.6000000;370.4100000;370.6000000;19090
20211101;22:10:00;370.5700000;370.6500000;370.5700000;370.6200000;13360
20211101;22:15:00;370.6200000;370.6300000;370.5000000;370.6000000;23980
20211101;22:20:00;370.6000000;370.6000000;370.5100000;370.5900000;8710
20211101;22:25:00;370.5300000;370.6900000;370.5100000;370.6500000;78300
20211101;22:30:00;370.6300000;370.6900000;370.6200000;370.6900000;23760
20211101;22:35:00;370.6400000;371.0000000;370.6200000;370.9800000;210040
20211101;22:40:00;371.0000000;371.1400000;370.9200000;371.0200000;100870
20211101;22:45:00;371.1400000;371.1400000;370.9200000;371.0000000;38930
20211101;22:50:00;371.0800000;371.0800000;370.9300000;370.9300000;30310
20211101;22:55:00;370.9900000;371.0000000;370.9300000;370.9300000;25130
20211101;23:00:00;371.0000000;371.1500000;370.9300000;371.0100000;93110
20211101;23:05:00;371.1400000;371.1500000;371.0100000;371.1500000;73720
20211101;23:10:00;371.1300000;371.3300000;371.1300000;371.3100000;99910
20211101;23:15:00;371.3000000;371.3300000;371.2800000;371.3100000;43920
20211101;23:20:00;371.3100000;371.3900000;371.3000000;371.3200000;96140
20211101;23:25:00;371.3000000;371.3900000;370.8900000;371.0100000;119230
20211101;23:30:00;370.9400000;371.1100000;370.8900000;371.0000000;36580
20211101;23:35:00;371.0000000;371.1200000;370.9200000;371.0000000;31970
20211101;23:40:00;371.0000000;371.0900000;370.9000000;370.9700000;31850
20211101;23:45:00;370.9900000;371.0500000;370.9000000;370.9900000;60570
20211101;23:50:00;371.0000000;371.0500000;370.8000000;370.9600000;105130
20211102;10:05:00;370.9800000;371.0000000;369.0200000;369.8500000;1218090
20211102;10:10:00;369.8500000;369.8500000;368.4000000;369.5000000;938760
20211102;10:15:00;369.3800000;370.9800000;369.3800000;370.4000000;705430
20211102;10:20:00;370.5000000;370.6100000;369.1100000;369.5200000;366400
20211102;10:25:00;369.5200000;369.5200000;368.2300000;368.5900000;460930
20211102;10:30:00;368.6200000;369.2500000;368.5900000;369.1000000;282880
20211102;10:35:00;369.1600000;369.1600000;368.4100000;368.7000000;261780
20211102;10:40:00;368.5900000;368.6400000;367.2000000;367.5400000;763060
20211102;10:45:00;367.5300000;368.2700000;367.4500000;367.9900000;349100
20211102;10:50:00;367.9700000;368.7700000;367.9000000;368.5500000;183650
20211102;10:55:00;368.5700000;370.3400000;368.3000000;369.5800000;1004570
20211102;11:00:00;369.6500000;369.6800000;368.7600000;368.8600000;133850
20211102;11:05:00;368.7900000;369.0600000;368.0000000;368.8300000;253900
20211102;11:10:00;368.7900000;369.4900000;368.5500000;368.8100000;227620
20211102;11:15:00;368.8300000;369.4700000;368.7500000;368.8800000;155980
20211102;11:20:00;368.8800000;369.3300000;368.4500000;369.1900000;260180
20211102;11:25:00;369.1900000;369.6600000;368.9500000;369.5400000;221900
20211102;11:30:00;369.6000000;369.6000000;369.0000000;369.4200000;174600
20211102;11:35:00;369.3300000;370.7900000;369.1200000;370.6700000;459370
20211102;11:40:00;370.6700000;374.0000000;370.6100000;372.8000000;2362840
20211102;11:45:00;372.8500000;373.6000000;372.3600000;373.4400000;982230
20211102;11:50:00;373.3500000;373.4300000;372.4100000;372.4600000;437540
20211102;11:55:00;372.5000000;372.7100000;372.0800000;372.3200000;294640
20211102;12:00:00;372.3300000;372.9700000;372.3200000;372.7300000;256680
20211102;12:05:00;372.5100000;372.9200000;372.0800000;372.0800000;263860
20211102;12:10:00;372.0800000;372.0800000;371.0600000;371.5900000;460260
20211102;12:15:00;371.5500000;371.5600000;370.1000000;370.5000000;425300
20211102;12:20:00;370.4000000;370.4000000;369.3000000;370.1800000;585600
20211102;12:25:00;370.1800000;372.9000000;370.0000000;371.9000000;899880
20211102;12:30:00;371.8600000;372.4700000;371.4700000;371.7700000;252250
20211102;12:35:00;371.7700000;371.7700000;370.7400000;371.3200000;266130
20211102;12:40:00;371.2400000;371.2400000;370.9000000;370.9000000;104320
20211102;12:45:00;370.9000000;371.0100000;370.5000000;370.7000000;109940
20211102;12:50:00;370.5700000;370.6200000;369.8600000;370.0100000;239750
20211102;12:55:00;370.0100000;370.5900000;369.6100000;370.0900000;183830
20211102;13:00:00;370.0900000;370.5000000;369.9000000;370.0700000;103860
20211102;13:05:00;370.0800000;370.5700000;369.9000000;370.2600000;106800
20211102;13:10:00;370.2600000;370.2600000;369.5000000;369.5100000;193350
20211102;13:15:00;369.5200000;369.5200000;367.4900000;368.0000000;1458540
20211102;13:20:00;368.0000000;368.7800000;367.9200000;368.7800000;182450
20211102;13:25:00;368.7800000;369.2000000;368.2600000;369.0800000;172740
20211102;13:30:00;369.0200000;369.1100000;368.3800000;368.4300000;103980
20211102;13:35:00;368.5600000;370.1500000;368.2300000;369.7800000;258050
20211102;13:40:00;369.8700000;369.9900000;369.2100000;369.7400000;144980
20211102;13:45:00;369.7400000;369.7500000;369.4000000;369.6500000;128290
20211102;13:50:00;369.6500000;370.7500000;369.3900000;370.4400000;211480
20211102;13:55:00;370.4000000;370.9100000;370.2300000;370.9100000;172020
